65.42 -17.7 18.9 -2.65e+17 -2.68e+18 -2.95e+18 -5.87e+17 1.52e+17 -1.57e+18 23  X Y mw
148.41 -5.85 174.3 1.8e+18 -2.43e+18 -6.34e+17 2.42e+18 5.08e+17 1.2e+16 23  X Y mw
141.37 12.24 12.0 -3.54e+18 2.23e+18 -1.31e+18 9.49e+17 -6.5e+17 -1.94e+18 23  X Y mw
141.38 12.27 12.0 -1.73e+18 1.1e+18 -6.23e+17 1.18e+17 -5.45e+17 -8.27e+17 23  X Y mw
141.52 12.46 12.0 -2.51e+19 2.42e+19 -9.2e+17 9.86e+18 -4.07e+18 -6.02e+18 23  X Y mw
-77.51 -1.51 197.8 -2.71e+19 1.09e+19 -1.61e+19 3.16e+19 2.48e+19 2.35e+19 23  X Y mw
167.81 -17.57 31.9 7.37e+19 -7.7e+18 6.610000000000001e+19 5.29e+19 2.87e+19 -4.15e+19 23  X Y mw
153.43 46.01 31.0 -1.29e+18 8.36e+17 -4.53e+17 1.19e+17 8.1e+16 -3.8e+17 23  X Y mw
150.8 -6.26 34.8 2.21e+19 -2.42e+19 -2.0599999999999997e+18 1.29e+19 8e+16 4.45e+18 23  X Y mw
-178.48 51.12 31.8 3.4e+18 -3.42e+18 -2e+16 2.66e+18 -2.2800000000000003e+18 1.23e+18 23  X Y mw
146.9 -5.59 218.1 3.59e+18 -5.72e+18 -2.12e+18 3.1e+18 2.53e+18 7.76e+17 23  X Y mw
126.4 1.4 40.8 3.25e+18 -2.5700000000000003e+17 2.99e+18 4.19e+17 -1.83e+17 1.53e+18 23  X Y mw
160.37 52.27 29.3 2.67e+18 -5.73e+17 2.09e+18 1.16e+18 -1.62e+18 1.48e+18 23  X Y mw
123.41 6.69 614.0 -2.1e+18 2.31e+18 2e+17 -5.58e+18 8.270000000000001e+18 -1.17e+18 23  X Y mw
123.56 6.23 556.4 -4.3100000000000005e+18 1.94e+18 -2.37e+18 -7.31e+17 7.72e+18 -2.31e+18 23  X Y mw
123.48 6.83 641.4 -1.38e+20 1.04e+20 -3.31e+19 -5.08e+19 1.5e+20 -2.7e+18 23  X Y mw
123.9 6.62 576.9 -1.55e+20 4.57e+19 -1.09e+20 3.96e+19 3.27e+20 -8.55e+19 23  X Y mw
123.59 6.54 596.8 -3.94e+19 3.23e+19 -7.1e+18 -3.18e+19 9.9e+19 -3.19e+19 23  X Y mw
128.09 3.08 121.6 5.06e+17 1.18e+18 1.68e+18 7.8e+17 -4.76e+17 -5.0099999999999994e+17 23  X Y mw
150.76 -6.33 34.6 3.24e+18 -3.62e+18 -3.84e+17 2.0399999999999997e+18 -2e+16 4.66e+17 23  X Y mw
-169.43 52.6 12.0 -1.27e+18 4.04e+17 -8.63e+17 2.5000000000000003e+17 -1.3799999999999998e+17 7.68e+17 23  X Y mw
150.33 -6.22 36.7 1.02e+20 -1.03e+20 -6e+17 6.260000000000001e+19 1.0000000000000001e+18 1.54e+19 23  X Y mw
150.68 -6.32 35.0 2.92e+19 6e+17 2.98e+19 -5.0999999999999994e+17 3.91e+18 7.1e+18 23  X Y mw
-169.64 52.66 12.0 -6.58e+18 1.26e+18 -5.32e+18 3.27e+18 -1.6e+18 1.08e+19 23  X Y mw
-73.89 -38.35 15.3 3.15e+18 1.1e+17 3.26e+18 5e+16 1.03e+19 2e+17 23  X Y mw
-68.61 -22.4 134.7 -2.48e+18 2.32e+17 -2.2400000000000003e+18 6.63e+17 3.15e+17 1.11e+18 23  X Y mw
146.09 11.09 13.7 2e+16 7.9e+17 8.09e+17 5.67e+17 -6.92e+17 -2.94e+18 23  X Y mw
142.77 39.68 35.3 2.15e+18 2.27e+17 2.37e+18 4.66e+17 -2.35e+18 2.26e+17 23  X Y mw
166.44 -13.71 28.0 2.61e+18 8.8e+16 2.69e+18 8.22e+17 1.46e+18 -8e+17 23  X Y mw
-97.77 16.47 17.8 1.22e+18 -1.0199999999999999e+18 2.02e+17 2.2999999999999997e+18 1.6e+18 -4.78e+17 23  X Y mw
161.43 -10.54 41.3 1.23e+19 -1.9e+17 1.21e+19 -6.16e+18 1.55e+18 -7.69e+18 23  X Y mw
151.18 -5.86 52.2 1.83e+18 -1.9900000000000003e+18 -1.62e+17 4.05e+17 2.47e+17 6.72e+17 23  X Y mw
148.94 44.34 31.5 1.39e+18 -3.74e+17 1.0199999999999999e+18 4.55e+17 -1.45e+18 1.0299999999999999e+18 23  X Y mw
179.94 -32.9 204.8 9.8e+16 -7.4e+16 2.4e+16 -3.19e+17 -8.29e+17 6.86e+17 23  X Y mw
136.56 -2.1 14.6 -7.7e+17 -7.920000000000001e+18 -8.690000000000001e+18 -8.4e+17 -1.33e+18 9.7e+17 23  X Y mw
136.36 -1.87 12.0 -2.74e+18 -3.16e+19 -3.44e+19 7.94e+18 1.33e+18 -2.1e+19 23  X Y mw
136.48 -2.01 12.0 -1.21e+17 -2.67e+18 -2.79e+18 3.75e+17 6.33e+17 -4.25e+17 23  X Y mw
91.65 7.85 33.1 7.71e+19 -1.76e+20 -9.92e+19 2.29e+19 1e+20 6.330000000000001e+19 23  X Y mw
169.59 -18.41 12.4 -1.29e+17 2.25e+17 9.7e+16 3.18e+17 5.6e+16 1.11e+18 23  X Y mw
